#The data is: Date,Time,Latitude,Longitude,T,ROW,DIR,SPD
2008-10-31, 14:00:00,41.283,91.667,12.0,43.0,180.0,2.1
2008-10-31, 14:00:00,43.083,94.267,8.0,43.0,10.0,2.1
2008-10-31, 14:00:00,42.050,93.850,10.0,43.0,170.0,1.5
2008-10-31, 14:00:00,40.773,91.125,13.3,43.0,190.0,3.6
2008-10-31, 14:00:00,42.750,93.767,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,41.267,95.767,8.0,43.0,330.0,2.1
2008-10-31, 14:00:00,43.067,92.617,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,41.884,91.710,9.4,43.0,150.0,1.5
2008-10-31, 14:00:00,42.050,94.783,8.0,43.0,0.0,0.0
2008-10-31, 14:00:00,42.732,95.556,5.0,43.0,30.0,1.5
2008-10-31, 14:00:00,41.033,93.367,13.0,43.0,190.0,3.1
2008-10-31, 14:00:00,41.017,94.367,10.0,43.0,140.0,2.6
2008-10-31, 14:00:00,42.398,90.704,8.9,43.0,210.0,2.1
2008-10-31, 14:00:00,43.283,91.733,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,41.983,95.383,6.0,43.0,0.0,0.0
2008-10-31, 14:00:00,41.538,93.666,12.2,43.0,160.0,3.1
2008-10-31, 14:00:00,41.614,90.591,12.2,43.0,200.0,3.1
2008-10-31, 14:00:00,40.467,91.433,15.0,43.0,200.0,5.1
2008-10-31, 14:00:00,43.401,94.747,5.6,43.0,340.0,3.6
2008-10-31, 14:00:00,41.050,91.983,13.0,43.0,190.0,2.6
2008-10-31, 14:00:00,42.550,94.183,7.0,43.0,360.0,1.5
2008-10-31, 14:00:00,40.667,91.333,13.0,43.0,190.0,3.6
2008-10-31, 14:00:00,41.584,95.340,6.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.717,95.033,8.0,43.0,0.0,0.0
2008-10-31, 14:00:00,41.633,91.543,8.3,43.0,0.0,0.0
2008-10-31, 14:00:00,42.778,96.194,2.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.630,93.901,11.7,43.0,160.0,2.6
2008-10-31, 14:00:00,43.158,93.331,6.1,43.0,0.0,0.0
2008-10-31, 14:00:00,42.110,92.916,7.8,43.0,160.0,2.1
2008-10-31, 14:00:00,40.947,91.511,14.0,43.0,190.0,3.1
2008-10-31, 14:00:00,41.367,91.150,9.0,43.0,0.0,0.0
2008-10-31, 14:00:00,42.233,91.167,8.0,43.0,0.0,0.0
2008-10-31, 14:00:00,42.681,91.974,8.0,43.0,150.0,1.5
2008-10-31, 14:00:00,41.226,92.494,12.0,43.0,170.0,2.1
2008-10-31, 14:00:00,42.983,96.067,8.0,43.0,10.0,2.6
2008-10-31, 14:00:00,41.107,92.448,12.2,43.0,190.0,2.6
2008-10-31, 14:00:00,41.300,93.117,13.0,43.0,190.0,3.6
2008-10-31, 14:00:00,41.400,92.933,13.0,43.0,170.0,1.5
2008-10-31, 14:00:00,41.017,95.267,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.750,95.417,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,43.217,95.833,5.0,43.0,350.0,2.1
2008-10-31, 14:00:00,42.600,95.233,9.0,43.0,20.0,4.1
2008-10-31, 14:00:00,43.166,95.203,6.7,43.0,360.0,4.1
2008-10-31, 14:00:00,42.402,96.384,6.7,43.0,330.0,4.6
2008-10-31, 14:00:00,41.683,93.017,12.0,43.0,0.0,0.0
2008-10-31, 14:00:00,42.219,92.026,9.0,43.0,0.0,0.0
2008-10-31, 14:00:00,42.542,113.771,8.3,43.0,170.0,3.1
2008-10-31, 14:00:00,43.521,112.066,2.2,43.0,20.0,2.6
2008-10-31, 14:00:00,42.727,114.457,9.4,43.0,40.0,5.1
2008-10-31, 14:00:00,44.523,114.215,0.01,43.0,0.0,0.0
2008-10-31, 14:00:00,42.920,112.571,7.8,43.0,360.0,5.1
2008-10-31, 14:00:00,43.832,111.806,1.7,43.0,0.0,0.0
2008-10-31, 14:00:00,43.500,114.300,7.0,43.0,300.0,3.1
2008-10-31, 14:00:00,42.479,114.476,17.2,43.0,170.0,8.2
2008-10-31, 14:00:00,39.070,88.533,10.0,43.0,160.0,2.6
2008-10-31, 14:00:00,39.162,89.674,11.0,43.0,160.0,4.6
2008-10-31, 14:00:00,40.159,89.335,10.0,43.0,170.0,2.6
2008-10-31, 14:00:00,38.606,87.727,10.0,43.0,170.0,2.1
2008-10-31, 14:00:00,38.900,90.050,11.0,43.0,130.0,2.6
2008-10-31, 14:00:00,41.770,88.481,7.8,43.0,160.0,1.5
2008-10-31, 14:00:00,38.550,89.850,10.6,43.0,160.0,2.1
2008-10-31, 14:00:00,40.477,88.916,10.5,43.0,200.0,5.7
2008-10-31, 14:00:00,41.425,88.419,10.0,43.0,210.0,3.1
2008-10-31, 14:00:00,41.019,89.386,12.0,43.0,200.0,3.1
2008-10-31, 14:00:00,37.064,89.219,11.0,43.0,170.0,3.6
2008-10-31, 14:00:00,40.032,88.273,10.0,43.0,190.0,4.1
2008-10-31, 14:00:00,38.571,90.156,11.7,43.0,150.0,3.1
2008-10-31, 14:00:00,38.089,88.123,9.0,43.0,170.0,3.6
2008-10-31, 14:00:00,39.834,88.866,10.6,43.0,190.0,3.6
2008-10-31, 14:00:00,41.932,88.708,8.0,43.0,190.0,4.1
2008-10-31, 14:00:00,40.199,87.596,12.0,43.0,200.0,2.6
2008-10-31, 14:00:00,41.896,88.251,10.0,43.0,170.0,3.6
2008-10-31, 14:00:00,38.515,89.092,11.0,43.0,160.0,3.1
